0.225;100;406250000;34
0.2325;100;203125000;34
0.24;100;171875000;32
0.2475;100;187500000;32
0.255;100;203125000;31
0.2625;100;171875000;29
0.27;100;171875000;28
0.2775;100;156250000;27
0.285;100;156250000;26
0.2925;100;156250000;24
0.3;100;156250000;25
0.3075;100;171875000;25
0.315;100;187500000;27
0.3225;100;156250000;28
0.33;100;187500000;62
0.3375;100;218750000;96
0.345;100;312500000;202
0.3525;100;531250000;421
0.36;100;1125000000;987
0.3675;100;2781250000;2563
0.375;100;8187500000;7631
0.3825;100;16125000000;13960
0.39;85;134421875000;111271
0.3975;35;133656250000;104968
0.405;0;130812500000;99388
0.4125;0;72468750000;53354
0.42;0;42984375000;30242
0.4275;0;39968750000;27432
0.435;0;23718750000;15683
0.4425;0;16281250000;10322
0.45;0;7968750000;4785
0.4575;0;8156250000;4821
0.465;0;6062500000;3468
0.4725;0;4421875000;2435
0.48;0;3109375000;1663
0.4875;0;2812500000;1481
0.495;0;2093750000;1054
0.5025;0;1640625000;805
0.51;0;1359375000;650
0.5175;0;1125000000;514
0.525;0;1015625000;465
0.5325;0;984375000;431
0.54;0;765625000;304
0.5475;0;656250000;262
